Serial No.,Course Type,Student ID,Student Name,Program,Batch,Period,Enrollment Date,Primary Faculty,Subject Code / Name,Section
1,REGULAR,c33ae1da8a94a8e7e75792c60c775471dbe21665ef651fce0e75c8e19eacfb13,6862f4c4b80c7550adbf3a8ad4500aeedf0f44fb9c011039f280ced5077a6c41,Integrated Master of Technology CSE,2021-26 iMtech,Term I [2024-25],05/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
2,REGULAR,c03ab67243c6554aec4ace8e6a70c21905eaf6307657a96c856f38f5e592e340,c3d3760bf91aad04d9fdf1aa5a85779f286855c5d40ab70a45eac1b95f6344d1,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
3,REGULAR,f1855e56ddf20a445bd2821ab8a7ea8eb57ededcbbec1cf9ca387a743abce6ec,202bcd3a63fce0e7b06149f09f75f8d7b7ffd19d69e3080efcba77fd92554d2c,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
4,REGULAR,18c2681d93b1aff90046ba1a27b6a7fcb1e8df44dea0a4cc32204f4bf0cd9f7a,6378edbc52a323436fa8e3c260fa8bb9405a699843537376382d4a3758305a89,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
5,REGULAR,1c05b74065b77c00d6232b8c19ae01aebe1627268819d8d7665e716d86abfe3e,4ffaf6d66eab130e67f3a2d402e173f684583a322fd11777829a7f86df8d8f6d,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
6,REGULAR,a7147ad73a150e4fc927bd43061386fbf4ad85b29d77181df030f50429a4e36c,48b4dbba1b34f1d69fbf3569db2493f6109331c86066b1276c53496e3e0dbb6d,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
7,REGULAR,c03c34e3c3fcc87525b3ce7b83fbdbe72dc6abbe7a06d717232f06bef9da30b9,8a532f64eb56d82a88b970b3ba69685031ca7f1b0d762b875e4cafe8b74ab166,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
8,REGULAR,388b4a6e14b6be99536820158b9de2e9374abfb408fdba7f6d19710086545427,f5fa36c708c94d63790d6f88aba43faa2f4cc7675125cfc2f21ebf408151c56c,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
9,REGULAR,9240efe37bb80c29aba47e77317c590bb4ed88f9eb2eae5fb7db3157f643aedc,b0c67caf13bf7d5747411e9a5c1c3b442d7115a6a5881fdf127a8a83d4a0ddba,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
10,REGULAR,15f70e643d4c2e8bf6d9e536e7349f9d41a2c4be8716dc6a4d1dc8a03766b980,862da054bb3d5f54c7026baa984ef9d867ca56684fb1ff80ea2e0113053266a4,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
11,REGULAR,5643290ddd6b20fd4225ad435ec07b5caa1f4d60f8c06f79af12221d361d09bd,eb096056a556cb5a4085d35e3ca91a1bef93c12c15a38ac0d79d69e976679128,Integrated Master of Technology CSE,2022-27iMtech,Term I [2024-25],06/08/24,"Sushree Behera,Viswanath G",AIM 511/Machine Learning,T1-24-25-AIM 511-IMT
