Member Id,Course,Number of classes attended,Number of classes absent,Course Credit,Average Attendance %,Serial No.,Course Type,Student Name,Program,Batch,Period,Enrollment Date,Primary Faculty,Section
01021eb63ad8ca36d35a6fd4ead1a931e4dc4b74999a5cf98c7900d8540c97ae,CSE 514/Concrete Mathematics,9.0,4.0,4.0,69.2,1867,REGULAR,4b218f5e709143248a48b8762d7a813d473fb01b97fd944aa11b776f0ba7e993,Master of Science By Research,MS Batch of 2024,Term I 2024-25,05/08/24,Srinivas Vivek,T1-24-25-CSE 514
01021eb63ad8ca36d35a6fd4ead1a931e4dc4b74999a5cf98c7900d8540c97ae,CSE 731/Software Testing,15.0,2.0,4.0,88.2,2023,REGULAR,4b218f5e709143248a48b8762d7a813d473fb01b97fd944aa11b776f0ba7e993,Master of Science By Research,MS Batch of 2024,Term I 2024-25,05/08/24,Meenakshi D Souza,T1-24-25-CSE 731
03f205b589909f0ea18950c4fac7e7d125a61a992e33556e8a3a8b0615ab0ab4,AIM 511/Machine Learning,52.0,4.0,4.0,92.9,208,REGULAR,3ac65c484d455e38b20e5edc023dced494ea1d9cce6d01eb32363016d2d11dbf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
03f205b589909f0ea18950c4fac7e7d125a61a992e33556e8a3a8b0615ab0ab4,AIM 512/Mathematics for Machine Learning,1.0,1.0,4.0,50.0,399,REGULAR,3ac65c484d455e38b20e5edc023dced494ea1d9cce6d01eb32363016d2d11dbf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
03f205b589909f0ea18950c4fac7e7d125a61a992e33556e8a3a8b0615ab0ab4,CSE 511/Algorithms,72.0,9.0,4.0,88.9,1533,REGULAR,3ac65c484d455e38b20e5edc023dced494ea1d9cce6d01eb32363016d2d11dbf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,31/07/24,Muralidhara V N,T1-24-25-CSE 511
03f205b589909f0ea18950c4fac7e7d125a61a992e33556e8a3a8b0615ab0ab4,CSE 513/Software Systems,54.0,4.0,4.0,100.0,1679,REGULAR,3ac65c484d455e38b20e5edc023dced494ea1d9cce6d01eb32363016d2d11dbf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,31/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
047236cffacc85ccec880c7b1b257e321af0ef1dd290899de7d6f9319decda76,AIM 511/Machine Learning,46.0,10.0,4.0,82.1,229,REGULAR,745253ea76933fb28ba068adf52e0bab7b7ebd94c4ee3ea542298a319fe477bf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
047236cffacc85ccec880c7b1b257e321af0ef1dd290899de7d6f9319decda76,AIM 512/Mathematics for Machine Learning,2.0,0.0,4.0,100.0,420,REGULAR,745253ea76933fb28ba068adf52e0bab7b7ebd94c4ee3ea542298a319fe477bf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
047236cffacc85ccec880c7b1b257e321af0ef1dd290899de7d6f9319decda76,CSE 511/Algorithms,57.0,24.0,4.0,70.4,1553,REGULAR,745253ea76933fb28ba068adf52e0bab7b7ebd94c4ee3ea542298a319fe477bf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,Muralidhara V N,T1-24-25-CSE 511
047236cffacc85ccec880c7b1b257e321af0ef1dd290899de7d6f9319decda76,CSE 513/Software Systems,42.0,16.0,4.0,100.0,1701,REGULAR,745253ea76933fb28ba068adf52e0bab7b7ebd94c4ee3ea542298a319fe477bf,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,24/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
075e7f21e42b4a5fb6e97df2bd17e65a0af0e5b11f547bfecc4ca690a2ece98e,AIM 511/Machine Learning,48.0,8.0,4.0,85.7,289,REGULAR,9d366d3a1edaf633ce1983380a76dec77af2ae40d5815beef8693b6de5e5c495,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Raghuram Bharadwaj,T1-24-25-AIM 511-MT
075e7f21e42b4a5fb6e97df2bd17e65a0af0e5b11f547bfecc4ca690a2ece98e,AIM 512/Mathematics for Machine Learning,1.0,1.0,4.0,50.0,480,REGULAR,9d366d3a1edaf633ce1983380a76dec77af2ae40d5815beef8693b6de5e5c495,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
075e7f21e42b4a5fb6e97df2bd17e65a0af0e5b11f547bfecc4ca690a2ece98e,CSE 511/Algorithms,63.0,18.0,4.0,77.8,1618,REGULAR,9d366d3a1edaf633ce1983380a76dec77af2ae40d5815beef8693b6de5e5c495,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,Muralidhara V N,T1-24-25-CSE 511
075e7f21e42b4a5fb6e97df2bd17e65a0af0e5b11f547bfecc4ca690a2ece98e,CSE 513/Software Systems,38.0,20.0,4.0,100.0,1771,REGULAR,9d366d3a1edaf633ce1983380a76dec77af2ae40d5815beef8693b6de5e5c495,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,30/07/24,"Chandrashekar Ramanathan,Thangaraju B",T1-24-25-CSE 513
075f4288380a972f084731c23f3ae382165107e4c5a2a2cd85363d3a96046fed,AIM 512/Mathematics for Machine Learning,1.0,1.0,4.0,50.0,390,REGULAR,befcab76f7ca4aba6f5e642ce30000c07c7628d35a2266486cbaad4cf951c169,Master of Technology CSE,2024-2026 CSE,Term I 2024-25,07/08/24,Sachit Rao,T1-24-25-AIM 512-MT
